categoria,prioridade,pattern
Rodizios,1,RODIZIO
Rodizios,1,RODÍZIO
Rodizios,1,RODIZIO TRANSPARENTE

Pulsadores,2,PULSADOR

Articuladores,3,ARTICULADOR
Articuladores,3,SUPORTE ARTICULADOR
Articuladores,3,PISTAO
Articuladores,3,PISTÃO
Articuladores,3,MULTISTOP

Acessórios,4,CABIDEIRO
Acessórios,4,REGUA LED
Acessórios,4,RÉGUA LED
Acessórios,4,BARRA
Acessórios,4,TORRE

Corrediça Telescópica,5,SLIM MV119
Corrediça Telescópica,5,TRILHO LIGHT
Corrediça Telescópica,5,TRILHO LIFE
Corrediça Telescópica,5,TRILHO MOVE
Corrediça Telescópica,5,TRILHO LIGTH
Corrediça Telescópica,5,TRILHO NORMAL
Corrediça Telescópica,5,TRILHO TELE
Corrediça Telescópica,5,TRILHO MINI LIGHT LIFE
Corrediça Telescópica,5,27MM MV119
Corrediça Telescópica,5,27MM

Corrediça Oculta,6,ESCOND
Corrediça Oculta,6,DREAM BOX
Corrediça Oculta,6,OPENBOX
Corrediça Oculta,6,GAVETA BOX
Corrediça Oculta,6,GAVETA OPENBOX
Corrediça Oculta,6,GAVETA SLIM BOX

Dobradiças,7,DOBRADIÇA
Dobradiças,7,DOBRADICA
