Categoria,Descricao,FAMILIA_PRODUTO,QTD_REGISTROS_ORIGINAIS
Articuladores,ARTICULADOR BRONZE FECHAM SUAVE 4KG 200MM MV132,ARTICULADOR BRONZE FECHAM SUAVE 4KG 200MM MV132,4
Articuladores,ARTICULADOR FECHAM SUAVE 4KG 200MM MV132,ARTICULADOR FECHAM SUAVE 4KG 200MM MV132,16
Articuladores,ARTICULADOR FECHAM SUAVE ZINCADO 4KG MV167,ARTICULADOR FECHAM SUAVE ZINCADO 4KG MV167,154
Articuladores,ARTICULADOR FECHAM SUAVE ZINCADO 6KG MV167,ARTICULADOR FECHAM SUAVE ZINCADO 6KG MV167,147
Articuladores,ARTICULADOR FECHAMENTO SUAVE ZINCADO 2KG MV167,ARTICULADOR FECHAMENTO SUAVE ZINCADO 2KG MV167,22
Acess¢rios,BARRA ESTABILIZADORA 900MM TRILHO SOFT/TOQUE,BARRA ESTABILIZADORA TRILHO SOFT/TOQUE,5
Acess¢rios,BARRA SINCRONIZADORA 1100MM TRILHO ESCOND MOTUS ABERTURA,BARRA SINCRONIZADORA TRILHO ESCOND MOTUS ABERTURA,18
Acess¢rios,BASE TORRE EXTENSIVEL,BASE TORRE EXTENSIVEL,5
Acess¢rios,CABIDEIRO CALCEIRO EXTENSIVEL 137MM,CABIDEIRO CALCEIRO EXTENSIVEL,11
Acess¢rios,CABIDEIRO EXTENSIVEL 54MM,CABIDEIRO EXTENSIVEL,7
Dobradi‡as,CAL€O 4F PARA DOBRADI€A COM PISTAO H4,CAL€O,1
Dobradi‡as,CALCO INVISIVEL H1 PARA DOBRADICA TITANIO,CAL€O,2
Dobradi‡as,CALCO PARA DOBRADI€A SIMPLES H2 PARA MOVEIS,CAL€O,48
Acess¢rios,CAPA PARA DOBRADI€A COM PISTAO,CAPA PARA DOBRADI€A,4
Acess¢rios,CAPA PARA DOBRADI€A INVISIVEL 25KG PRETA,CAPA PARA DOBRADI€A,19
Acess¢rios,CAPA PARA DOBRADI€A INVISIVEL 35KG PRETA,CAPA PARA DOBRADI€A,2
Acess¢rios,CAPA PARA DOBRADI€A MOTUS PERFIL DE ALUMINIO NIQUELADA,CAPA PARA DOBRADI€A,2
Acess¢rios,CAPA PARA DOBRADI€A MOTUS PERFIL DE ALUMINIO ONIX,CAPA PARA DOBRADI€A,1
Dobradi‡as,DOBRADI€A 105ø COM PISTÇO CLIP ON ALTA NIQUELADA CAL€O 3D,DOBRADI€A 105ø COM PISTÇO CLIP ON NIQUELADA,4
Dobradi‡as,DOBRADI€A 105ø COM PISTÇO CLIP ON RETA NIQUELADA CAL€O 3D,DOBRADI€A 105ø COM PISTÇO CLIP ON NIQUELADA,4
Dobradi‡as,DOBRADI€A 105ø COM PISTÇO CLIP ON SUPER ALTA NIQUELADA,DOBRADI€A 105ø COM PISTÇO CLIP ON NIQUELADA,1
Dobradi‡as,DOBRADI€A 105ø COM PISTÇO CLIP ON ALTA TITANIO CAL€O 3D,DOBRADI€A 105ø COM PISTÇO CLIP ON TITANIO,130
Dobradi‡as,DOBRADI€A 105ø COM PISTÇO CLIP ON ALTA TITANIO CAL€O4F,DOBRADI€A 105ø COM PISTÇO CLIP ON TITANIO,9
Dobradi‡as,DOBRADI€A 105ø COM PISTÇO CLIP ON RETA TITANIO CAL€O 3D,DOBRADI€A 105ø COM PISTÇO CLIP ON TITANIO,178
Dobradi‡as,DOBRADI€A 105ø COM PISTÇO CLIP ON RETA TITANIO CAL€O 4F,DOBRADI€A 105ø COM PISTÇO CLIP ON TITANIO,10
Dobradi‡as,DOBRADI€A 105ø COM PISTÇO CLIP ON SUPER ALTA TITANIO CAL€O,DOBRADI€A 105ø COM PISTÇO CLIP ON TITANIO,46
Dobradi‡as,DOBRADICA 120ø TWO WAY COM PISTAO H0 PARA MOVEIS,DOBRADICA 120ø TWO WAY COM PISTAO H0 PARA MOVEIS,28
Dobradi‡as,DOBRADI€A 155ø TITANIO COM PISTÇO ALTA CAL€O INVISIVEL,DOBRADI€A 155ø TITANIO COM PISTÇO ALTA CAL€O INVISIVEL,10
Dobradi‡as,DOBRADI€A 155ø TITANIO COM PISTÇO RETA CAL€O INVISIVEL,DOBRADI€A 155ø TITANIO COM PISTÇO RETA CAL€O INVISIVEL,12
Dobradi‡as,DOBRADICA 165ø COM PISTAO ALTA CANECO 35 CALCO H2 4F MV170,DOBRADICA 165ø COM PISTAO,59
Dobradi‡as,DOBRADICA 165ø COM PISTAO ALTA CANECO 35 CALCO H2 4F PARA,DOBRADICA 165ø COM PISTAO,739
Dobradi‡as,DOBRADICA 165ø COM PISTAO RETA CANECO 35 CALCO H2 4F MV170,DOBRADICA 165ø COM PISTAO,142
Dobradi‡as,DOBRADICA 165ø COM PISTAO RETA CANECO 35 CALCO H2 4F PARA,DOBRADICA 165ø COM PISTAO,1289
Dobradi‡as,DOBRADICA 165ø SIMPLES ALTA CANECO 35 CALCO H2 MV171 PARA,DOBRADICA 165ø SIMPLES,49
Dobradi‡as,DOBRADICA 165ø SIMPLES ALTA CANECO 35 CALCO H2 PARA MOVEIS,DOBRADICA 165ø SIMPLES,625
Dobradi‡as,DOBRADICA 165ø SIMPLES RETA CANECO 35 CALCO H2 MV171 PARA,DOBRADICA 165ø SIMPLES,19
Dobradi‡as,DOBRADICA 165ø SIMPLES RETA CANECO 35 CALCO H2 PARA MOVEIS,DOBRADICA 165ø SIMPLES,900
Dobradi‡as,DOBRADICA 45ø COM PISTAO CANECO 35 CALCO H0 PARA MOVEIS,DOBRADICA 45ø COM PISTAO,41
Dobradi‡as,DOBRADICA 45ø COM PISTAO CLIP ON CANECO 35 CALCO H0 MV169,DOBRADICA 45ø COM PISTAO,27
Dobradi‡as,DOBRADICA 90ø COM PISTAO CLIP ON ALTA 4 FUROS CANECO 35,DOBRADICA 90ø COM PISTAO,278
