Codigo,Descricao,Quantidade,Valor,Mes,Ano,ClienteCodigo,Cliente,Estado,Cidade,Representante,Categoria
9587,DOBRADICA 45° COM PISTAO CLIP ON CANECO 35 CALCO H0 MV169,50.0,275.5,10,2025,8819,AMBIENTAL MOVEIS PLANEJADOS LTDA,SAO PAULO,SAO PAULO,4593-OPENFIELD BENTO,Dobradiças
9586,DOBRADICA COM PISTAO SLIDE ON SUPER ALTA LIFE CANECO 35,100.0,284.05,10,2025,7925,COMPEMPLAC COM.DE.MAQ.E ACESSORIOS PARA MARCENARIA,SAO PAULO,SAO CARLOS,5289-WILLIAM VALDOMIRO MELO,Dobradiças
9585,DOBRADICA COM PISTAO SLIDE ON ALTA LIFE CANECO 35 CALCO H2 4F,200.0,568.1,11,2025,8015,MERCATTO FERRAGENS,RIO GRANDE DO SUL,ROLANTE,4243-MARCELO DE OLIVEIRA TEIXEIRA,Dobradiças
9585,DOBRADICA COM PISTAO SLIDE ON ALTA LIFE CANECO 35 CALCO H2 4F,200.0,550.96,11,2025,8744,60.48.514 LEDICE JUNGES,SANTA CATARINA,SAO JOAO DO SUL,1524-BEAL REPRE LTDA - ME MARCIO,Dobradiças
9585,DOBRADICA COM PISTAO SLIDE ON ALTA LIFE CANECO 35 CALCO H2 4F,100.0,284.05,10,2025,8914,ADEMIR CONSTANTINO BARRETOS ME,SAO PAULO,BARRETOS,5289-WILLIAM VALDOMIRO MELO,Dobradiças
9585,DOBRADICA COM PISTAO SLIDE ON ALTA LIFE CANECO 35 CALCO H2 4F,1000.0,2840.5,10,2025,7925,COMPEMPLAC COM.DE.MAQ.E ACESSORIOS PARA MARCENARIA,SAO PAULO,SAO CARLOS,5289-WILLIAM VALDOMIRO MELO,Dobradiças
9585,DOBRADICA COM PISTAO SLIDE ON ALTA LIFE CANECO 35 CALCO H2 4F,100.0,284.05,10,2025,8040,ABILE COMERCIO DE COMPONENTES PARA MOVEIS LTDA,RIO GRANDE DO SUL,FLORES DA CUNHA,1524-BEAL REPRE LTDA - ME MARCIO,Dobradiças
9585,DOBRADICA COM PISTAO SLIDE ON ALTA LIFE CANECO 35 CALCO H2 4F,200.0,598.0,10,2025,8154,SOS MARCENEIRO,PARANA,LONDRINA,1473-L A PICCINATO CIA LTDA,Dobradiças
9585,DOBRADICA COM PISTAO SLIDE ON ALTA LIFE CANECO 35 CALCO H2 4F,400.0,1195.2,10,2025,6732,PUXE COMPONENTES PARA MOVEIS,PARANA,ARAPONGAS,1473-L A PICCINATO CIA LTDA,Dobradiças
9584,DOBRADICA COM PISTAO SLIDE ON RETA LIFE CANECO 35 CALCO H2 4F,500.0,1420.25,11,2025,8038,CASA MM COMERCIAL LTDA,SAO PAULO,RIBEIRAO PRETO,5289-WILLIAM VALDOMIRO MELO,Dobradiças
